fruit_name,region,region_level,start_month,end_month,season_level,cultivation_type,data_quality,source_note,source_year,is_scoring_enabled
西瓜,华中,area,5,7,peak,open_field,medium,全国西瓜接续上市资料给出河南等产区5月至7月集中上市；https://www.hnwx.gov.cn/2026/07-09/77871.html,2026,true
西瓜,西北,area,7,8,regular,open_field,medium,全国西瓜接续上市资料给出甘肃宁夏7月至8月接续上市；https://www.hnwx.gov.cn/2026/07-09/77871.html,2026,true
西瓜,西南,area,9,10,limited,open_field,medium,全国西瓜接续上市资料给出云南秋瓜9月至10月；https://www.hnwx.gov.cn/2026/07-09/77871.html,2026,true
哈密瓜,西北,area,7,8,peak,open_field,medium,哈密市政府资料支持7月至8月集中成熟期；https://www.hami.gov.cn/hami/c119981/202407/3525c347958a4df49fd8984bac0aec48.shtml,2024,true
桃,华东,area,6,8,peak,open_field,medium,农业农村部资料给出山东蒙阴蜜桃6月至8月采收；https://jcs.moa.gov.cn/gzdt/202109/t20210908_6375981.htm,2021,true
梨,华北,area,8,9,peak,open_field,high,农业农村部资料给出河北赵县8月至9月采摘盛期；https://nmfsj.moa.gov.cn/xwzx_25646/ywjj/201809/t20180913_6157268.htm,2018,true
梨,西北,area,9,9,peak,open_field,high,中国气象局给出库尔勒香梨9月5日至25日采收；https://www.cma.gov.cn/2011xzt/2017zt/20170522/20170614/2017052203/202111/t20211103_4149964.html,2017,true
梨,华东,area,9,9,regular,open_field,medium,农业农村部砀山采梨季资料支持9月采收；https://nmfsj.moa.gov.cn/ztfb/jqxf/202409/t20240913_6462488.htm,2024,true
芒果,华南,area,1,5,regular,open_field,high,国家标准草案说明海南芒果产季为1月至5月；https://std.samr.gov.cn/dcpspTools/gbPlan/download?path=%2Fzxd%2F2022003906%2F20_%E6%A0%87%E5%87%86%E8%B5%B7%E8%8D%89%2F20_DI_2022003906_%E8%8A%92%E6%9E%9C++%E8%B4%AE%E8%97%8F%E5%AF%BC%E5%88%99.pdf,2024,true
芒果,华南,area,6,8,regular,open_field,high,国家标准草案说明广西芒果产季为6月至8月；https://std.samr.gov.cn/dcpspTools/gbPlan/download?path=%2Fzxd%2F2022003906%2F20_%E6%A0%87%E5%87%86%E8%B5%B7%E8%8D%89%2F20_DI_2022003906_%E8%8A%92%E6%9E%9C++%E8%B4%AE%E8%97%8F%E5%AF%BC%E5%88%99.pdf,2024,true
芒果,西南,area,8,11,regular,open_field,high,中国气象局说明攀枝花晚熟芒果8月至11月上市；https://www.cma.gov.cn/2011xwzx/2011xmtjj/202407/t20240726_6450160.html,2024,true
菠萝,华南,area,2,2,regular,open_field,medium,农业农村信息网说明海南菠萝2月开始批量上市；本行只启用来源明确覆盖的2月；https://www.agri.cn/zx/xxlb/hn_24280/202312/t20231227_8593478.htm,2023,true
菠萝,华南,area,4,6,peak,open_field,medium,农业农村信息网说明徐闻菠萝4月至6月为销售旺季；https://www.agri.cn/zx/xxlb/gd/202403/t20240304_8613056.htm,2024,true
菠萝,华南,area,7,8,regular,open_field,medium,广东农业农村厅说明粤东产区7月至8月上市高峰；https://dara.gd.gov.cn/gkmlpt/content/3/3961/post_3961445.html,2022,true
火龙果,华南,area,7,1,regular,mixed,medium,农业农村部实验室资料说明多数地区7月至翌年1月采果；https://jgs.moa.gov.cn/kptd/202210/t20221027_6414067.htm,2022,true
火龙果,西南,area,5,11,regular,open_field,medium,云南农业农村厅说明自然采摘期为5月至11月；https://nync.yn.gov.cn/html/2023/zhoushilianbo-new_1201/402468.html,2023,true
荔枝,华南,area,5,7,peak,open_field,high,广东省政府资料说明粤西珠三角粤东在5月至7月接续上市；https://www.qb.gd.gov.cn/mlgd/content/post_1291000.html,2025,true
荔枝,华南,area,8,8,limited,open_field,medium,农业农村信息网说明广西晚熟荔枝可持续至8月下旬；https://www.agri.cn/zx/nyyw/202506/t20250623_8743199.htm,2025,true
龙眼,华南,area,7,9,peak,open_field,high,农业农村部月报支持华南龙眼7月至9月集中上市；https://nkj.moa.gov.cn/rzny/201909/t20190909_6327547.htm,2019,true
龙眼,华东,area,7,10,regular,open_field,medium,农业农村部月报覆盖福建早熟7月及晚熟尾期10月；https://nkj.moa.gov.cn/rzny/201904/t20190428_6247759.htm,2019,true
龙眼,西南,area,9,9,limited,open_field,medium,农业农村部9月月报支持西南局部产区9月上市；https://nkj.moa.gov.cn/rzny/201904/t20190428_6247755.htm,2018,true
樱桃,华东,area,5,6,peak,open_field,high,烟台市政府资料支持山东大樱桃5月至6月上市；https://www.yantai.gov.cn/art/2023/4/25/art_45940_3119197.html,2023,true
樱桃,全国,national,5,7,regular,open_field,high,国家林草局资料概括国产甜樱桃主要产区及5月至7月采收；https://www.forestry.gov.cn/c/www/ggjjlcy/578728.jhtml,2024,true
石榴,西南,area,8,9,peak,open_field,medium,国家林草局转载新华社报道，明确支持四川会理石榴8月至9月采摘；https://www.forestry.gov.cn/c/www/lcdt/524976.jhtml,2023,true
石榴,西北,area,9,10,regular,open_field,medium,陕西省政府资料支持临潼石榴9月至10月采收；https://www.shaanxi.gov.cn/xw/tpxw/202211/t20221108_2263329_wap.html,2022,true
石榴,华中,area,9,10,regular,open_field,high,南阳市农业农村局资料支持当地石榴9月至10月成熟；https://nyj.nanyang.gov.cn/2024/09-24/619316.html,2024,true
柚子,华东,area,9,11,peak,open_field,high,福建省政府资料支持文旦柚传统采摘期9月至11月；https://www.fujian.gov.cn/zwgk/ztzl/sxzygwzxsgzx/flsxkmh/202511/t20251101_7028945.htm,2025,true
柚子,华南,area,9,11,peak,open_field,medium,梅州农业资料支持蜜柚金柚9月至11月采收；https://www.meizhou.gov.cn/zwgk/zfjg/snyncj/fwzx/tztg/content/post_2059529.html,2020,true
柚子,西南,area,11,11,peak,open_field,high,重庆农业农村委资料支持梁平柚11月集中采收；https://nyncw.cq.gov.cn/zwxx_161/qxlb/202411/t20241115_13798950.html,2024,true
木瓜,华南,area,1,12,unknown,unknown,unverified,农业农村部材料仅能证明热区番木瓜可周年挂果且不能证明商业月度旺季；https://www.moa.gov.cn/ztzl/zjyqwgz/spxx/201307/P020250606378892619289.pdf,2025,false
榴莲,华南,area,6,8,limited,open_field,medium,三亚资料仅支持海南国产榴莲6月底至8月局部采收且不代表进口供应；https://syipb.sanya.gov.cn/tzcjjsite/zxzx/202506/acd1fb417bc14a7691ab814c4335ea29.shtml,2025,true
柠檬,西南,area,9,12,peak,open_field,high,安岳县政府资料区分9月至12月采收与之后冷藏供应；https://www.anyue.gov.cn/news/show/472552,2023,true
牛油果,西南,area,10,11,peak,open_field,high,云南孟连保山资料支持国产牛油果10月至11月集中上市；https://www.longyang.gov.cn/info/4483/13589559.htm,2025,true
